Note ID	Korean Word	Word Meaning	Word Audio	Korean Expression	Expression Meaning	Expression Audio	Picture	Hint	Sort
dfb3d388-2cb3-11ed-a970-3b66871c921d				<div><b>안녕하십니까</b>? 9시 뉴스<b>입니다</b></div><div></div>		"[sound:1-1-13-1.mp3]<img src=""paste-125aeb8fa1091ecc1898eba0a2372987a17817a2.jpg"">"			1-1-13-1	Beginner
dfb40d76-2cb3-11ed-a970-3b66871c921d				<div>질문 <b>있습니까</b>?&nbsp;</div>		"[sound:1-1-13-2.mp3]<img src=""paste-841e1b4bdd76b7d07cf8361c35bf1911c2b44d20.jpg"">"			1-1-13-2	Beginner
dfb43666-2cb3-11ed-a970-3b66871c921d				<div>가: 이것을 어떻게 <b>생각합니까</b>?&nbsp;</div><div><div>나: <b>좋습니다</b>.&nbsp;</div></div>		"[sound:1-1-13-3.mp3]<img src=""paste-5c72a8106221541230acfc443746cf6ebe405a56.jpg"">"			1-1-13-3	Beginner Retired
dfb45cc2-2cb3-11ed-a970-3b66871c921d				가: <b>맛있어요</b>?&nbsp;<div>나: 네, <b>맛있어요</b>.&nbsp;</div>		"<img src=""paste-e6cd9ccb9c2169e342e45822e1da5393d39d810e.jpg"">&nbsp;"			1-2-15-1	Beginner
dfb4851c-2cb3-11ed-a970-3b66871c921d				<div>가: 어디에 <b>가요</b>?&nbsp;</div><div><div>나: 학교에 <b>가요</b>.&nbsp;</div></div>		"<img src=""paste-632c47dcc320735658b30d47441db082002aee33.jpg"">[sound:1-2-15-2.mp3]"			1-2-15-2	Beginner
dfb4aaf6-2cb3-11ed-a970-3b66871c921d				<div>1981년 3월 5일에 <b>태어났어요.</b>&nbsp;</div>		"<img src=""paste-3482397ad18680ce01625bf6d11b5400bb0b3f69.jpg"">[sound:1-3-17-1.mp3]"			1-3-17-1	Beginner
dfb4d60c-2cb3-11ed-a970-3b66871c921d				<div>2004년 2월에 대학교를 <b>졸업했어요</b>.&nbsp;</div>		"<img src=""paste-f6ea48a635d89cc3261e959b1f2729b90d1264d3.jpg"">[sound:1-3-17-2.mp3]"			1-3-17-2	Beginner Retired
dfb504d8-2cb3-11ed-a970-3b66871c921d				<div>작년에 <b>결혼했어요</b>.&nbsp;</div>		"<img src=""paste-c93e04929dfe08f47a6c758aa3a67b361fb7405f.jpg"">[sound:1-3-17-3.mp3]"			1-3-17-3	Beginner
dfb52e36-2cb3-11ed-a970-3b66871c921d				<div>2년 후에 차를 <b>살 거예요</b>.&nbsp;</div>		"<img src=""paste-28c9c46585fe8935f56171c6df31e39b6aa70d3c.jpg"">[sound:1-4-19-1.mp3]"			1-4-19-1	Beginner
dfb55424-2cb3-11ed-a970-3b66871c921d				<div>주말에 낚시를 <b>할 거예요</b>.&nbsp;</div>		"<img src=""paste-d364067d751a70e6a880b81a33913b8cbca19684.jpg"">[sound:1-4-19-2.mp3]"			1-4-19-2	Beginner
